title,price,image,link,category
"Benadryl Extra Strength Cooling Relief Anti-Itch Gel, 3.5 fl. oz",$5.42,https://i5.walmartimages.com/asr/44d0fd48-55e1-43a7-8279-321ce05bb478_1.f41332c0c34acdcb2810f384c9867f4e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Extra-Strength-Cooling-Relief-Anti-Itch-Gel-3-5-fl-oz/35756723,benadryl
"Benadryl Extra Strength Itch Relief Stick, Travel Size,.47 fl. oz",$2.34,https://i5.walmartimages.com/asr/7cb9ec05-ec48-438e-8a52-3b4d7242fab0_1.10c4fe9846831996010f001105fc8a95.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Extra-Strength-Itch-Relief-Stick-Travel-Size-47-fl-oz/10294030,benadryl
"Benadryl Anti-Itch Camphor Cooling Gel for Kids, Travel Size, 3 oz",$4.48,https://i5.walmartimages.com/asr/946e0357-fc79-4dad-9cbd-abdcad76b611.23c0410ff164ede431f137b05a16a75e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Anti-Itch-Camphor-Cooling-Gel-for-Kids-Travel-Size-3-oz/12167271?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:uVEUkLFFoIEaXSIE6aXzB5wOmYcUfCo1ZXgaN8FiY4IeuWPUz0h2CuZcv6qa90HAgQSJ6odAn4kKNkJmVifRIM2Q9cV0_hebdP7c_a3947_xi3Gq20Nkt8yJepjrukYlFR1pIJzx8NKRXUdcALlb8c3kkKueuFMHxY0TblJ-IOPO4lfN35PktuyBmRbKBg9YlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,benadryl
"Benadryl Extra Strength Itch Relief Cream, Topical Analgesic, 1 oz",$7.29,https://i5.walmartimages.com/asr/1a1e970b-705e-4ac6-b304-b31d5391a7c8_1.1e05653092b9fc4e1ce3636df21c14a6.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Extra-Strength-Itch-Relief-Cream-Topical-Analgesic-1-oz/893379,benadryl
"Benadryl Itch Relief Gel, Extra Strength, 3.5 Ounce",$9.85,https://i5.walmartimages.com/asr/70588b70-99b5-40d7-93e7-80f38634f2c0_1.a109610f6c2ebab36762b4ce54b5bd52.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Itch-Relief-Gel-Extra-Strength-3-5-Ounce/392337839,benadryl
"Benadryl Original Strength Itch Relief Cream, Topical Analgesic, 1 oz",$6.83,https://i5.walmartimages.com/asr/44103667-6875-436e-b776-cf3d6402ef0d_1.65737eb7090c77f7aa9709f0319524eb.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Original-Strength-Itch-Relief-Cream-Topical-Analgesic-1-oz/10294032,benadryl
2 Pack - Benadryl Itch Stopping Cream Extra Strength 1 oz,$13.00,https://i5.walmartimages.com/asr/c4a404b5-bef1-4030-98d3-8e3553a7b942_1.c2acb223d577088b7cbae5efc89ae34f.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/2-Pack-Benadryl-Itch-Stopping-Cream-Extra-Strength-1-oz/541650500,benadryl
5 Pack - Benadryl Itch Relief Stick 0.47 oz (14 ml) Each,$15.69,https://i5.walmartimages.com/asr/522063d7-714b-45b9-b994-5f97eac6e423_1.7bc788c026e25aba18492a9a11e1242c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/5-Pack-Benadryl-Itch-Relief-Stick-0-47-oz-14-ml-Each/132966390,benadryl
2 Pack - Benadryl Itch Relief Cooling Spray Extra Strength 2oz Each,$15.55,https://i5.walmartimages.com/asr/e3d68040-2ebd-4691-8f2b-fc2adbfaafca_1.a5f103902dfc3a367617ba08c654f9b2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/2-Pack-Benadryl-Itch-Relief-Cooling-Spray-Extra-Strength-2oz-Each/185335298,benadryl
Benadryl Itch Relief Cooling Spray Extra Strength 2oz Each,$9.84,https://i5.walmartimages.com/asr/c5f6c6a4-9b2f-4558-9c36-3ab3c6f8e9db_1.a5f103902dfc3a367617ba08c654f9b2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Itch-Relief-Cooling-Spray-Extra-Strength-2oz-Each/811968471,benadryl
