title,price,image,link,category
"Caladryl Skin Protectant Lotion, Calamine + Itch Reliever, 6 fl oz.",$5.47,https://i5.walmartimages.com/asr/9402c463-86ce-42fa-98b7-70e18e22ff6c_1.1f6c87c912715ecfe64c08fc47d05433.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Caladryl-Skin-Protectant-Lotion-Calamine-Itch-Reliever-6-fl-oz/46024172,calamine lotion
"Equate Calamine Clear Lotion, 6 Oz",$2.98,https://i5.walmartimages.com/asr/a44afbf5-ddf0-4d5a-89f6-457099edc7ce_1.baca5e7f82ffc9edf15317c239811c62.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-Calamine-Clear-Lotion-6-Oz/595611425,calamine lotion
"Equate No-Rub Calamine Plus Spray, 4.1 oz",$3.97,https://i5.walmartimages.com/asr/52eb05b8-4fe1-410e-a602-954dd008b5e3_1.b8d497ad1ff5870082461b05d8f4c3d1.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-No-Rub-Calamine-Plus-Spray-4-1-oz/23788429,calamine lotion
Caladryl Clear Skin Protectant Lotion - 6 OZ,$9.79,https://i5.walmartimages.com/asr/d5d3c908-08e9-4ffc-a7ef-7fb784886c22_1.6f9ec329ee76f73f1ebc02ebff25bc45.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Caladryl-Clear-Skin-Protectant-Lotion-6-OZ/130995887,calamine lotion
"Major Calamine Itch Relief 8% / 8% Strength Lotion 177 mL Bottle, 1 Each",$6.79,https://i5.walmartimages.com/asr/5a4deddd-0255-4c24-85b2-7900c2212094_1.f6de0c6f582109fceeb2c75ea7e8cdb0.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Major-Calamine-Itch-Relief-8-8-Strength-Lotion-177-mL-Bottle-1-Each/560321241,calamine lotion
Humco Calamine Lotion USP 6 oz,$8.00,https://i5.walmartimages.com/asr/a44e4f00-b2b5-4f0d-8827-5d841eeefe8b_1.a44988b9d10a85d08ca7f32f1de86e3c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Humco-Calamine-Lotion-USP-6-oz/655243144,calamine lotion
"Sunmark Calamine Lotion, 6 Fl. Oz.",$6.76,https://i5.walmartimages.com/asr/7a9e20cf-e4e8-48d0-82de-48711b424e80_1.a5e60b465bf324610a8c36dc0e64d4a7.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Sunmark-Calamine-Lotion-6-Fl-Oz/173312282,calamine lotion
"Caladryl Calamine Plus Itch Reliever Topical Analgesic Skin Lotion 6 oz, 1 Pack",$10.20,https://i5.walmartimages.com/asr/3d8a5b94-50bb-42e3-b37b-db381b79a01d_1.43fa9b3709b4def5d18fe0d0b2dd1eaa.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Caladryl-Calamine-Plus-Itch-Reliever-Topical-Analgesic-Skin-Lotion-6-oz-1-Pack/188782073,calamine lotion
"Major Calamine Lotion, Pink, 6 Fl. Oz.",$7.14,https://i5.walmartimages.com/asr/4212c709-b0d0-4314-8dc3-8689ff0f9a28_1.e453638df2f97bb68e8307b29ca9e89f.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Major-Calamine-Lotion-Pink-6-Fl-Oz/147396927,calamine lotion
Caladryl Skin Protectant Calamine Lotion 6 oz Each,$9.72,https://i5.walmartimages.com/asr/f9636370-9c10-41cc-aed4-e082db133790_1.49c7b10aafe1cb4a580a15cf2ba0f95e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Caladryl-Skin-Protectant-Calamine-Lotion-6-oz-Each/438692735,calamine lotion
