title,price,image,link,category
"Aspirin Regimen Bayer Low Dose Pain Reliever Enteric Coated Tablets, 81mg, 300 Ct",$13.62,https://i5.walmartimages.com/asr/4070d564-ae84-4e07-b501-3e2c09cf35da_2.c6bbd73c5fafb2c3f6739fecb24e714b.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Aspirin-Regimen-Bayer-Low-Dose-Pain-Reliever-Enteric-Coated-Tablets-81mg-300-Ct/12444555,pain_reliever
"Equate Extra Strength Pain Reliever Acetaminophen 500mg Caplets, 2x250ct",$6.98,https://i5.walmartimages.com/asr/4d8688c0-3dd4-43d7-899d-fbfc69e84ea9_1.71e9a91dd786aaa5eb67cb0eca463e8b.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-Extra-Strength-Pain-Reliever-Acetaminophen-500mg-Caplets-2x250ct/996416406,pain_reliever
"Tylenol PM Extra Strength Pain Reliever &amp; Sleep Aid Caplets, 150 ct",$14.97,https://i5.walmartimages.com/asr/d60ce064-05a8-4eba-9389-e63a4025036b_1.99218e8203826f416cdb08911dd9f204.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Tylenol-PM-Extra-Strength-Pain-Reliever-Sleep-Aid-Caplets-150-ct/54061719,pain_reliever
"Tylenol 8 Hour Arthritis &amp; Joint Pain Acetaminophen Tablets, 225 ct",$16.97,https://i5.walmartimages.com/asr/630532f6-58d9-426d-9928-8e686d196705_1.2d66525e894f8e08eea9d7310c639dcf.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Tylenol-8-Hour-Arthritis-Joint-Pain-Acetaminophen-Tablets-225-ct/10294217,pain_reliever
Aleve Caplets Pain Reliever/Fever Reducer,$6.47,https://i5.walmartimages.com/asr/ee113484-fe93-4625-b856-bff624e98e4d_1.c03b7739b0c02800d4a0aa137ff9e697.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Aleve-Pain-Reliever-Fever-Reducer-Naproxen-Sodium-Caplets-220-mg-270-Ct/22309246,pain_reliever
"Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 ct",$9.47,https://i5.walmartimages.com/asr/446d7dcb-5137-4a4d-9cb6-4c8bd7f2bd7d_1.e09b0e5fb90ddec9872ee496ad62b7a5.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Tylenol-Extra-Strength-Caplets-with-500-mg-Acetaminophen-100-ct/893337,pain_reliever
"Genuine Bayer Aspirin Pain Reliever / Fever Reducer 325mg Coated Tablets, 200 Ct",$9.84,https://i5.walmartimages.com/asr/110f31b2-a4c6-4280-ba28-0a156b028f20_2.c7bc509c34702e108dc3611436756557.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Genuine-Bayer-Aspirin-Pain-Reliever-Fever-Reducer-325mg-Coated-Tablets-200-Ct/12444552,pain_reliever
"Little Remedies Infant Fever Pain Reliever, Berry Flavor, 2 oz",$7.04,https://i5.walmartimages.com/asr/33faf75d-f8aa-40ec-b2ff-e6cd947007d6_1.8d3a51b3290f4c2b963fbe7788ee8ffb.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Little-Remedies-Infant-Fever-Pain-Reliever-Berry-Flavor-2-oz/20684152,pain_reliever
"Equate Pain Reliever Acetaminophen 500mg Caplets, 500ct",$6.98,https://i5.walmartimages.com/asr/d502c2cf-156d-4f73-9934-bf85c45b6912_1.31c9543a204ee39e49731e0e7f17a164.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-Pain-Reliever-Acetaminophen-500mg-Caplets-500ct/509037085,pain_reliever
"Bayer Chewable Aspirin Regimen Low Dose Pain Reliever Tablets, 81mg, Orange, 108 Ct",$6.36,https://i5.walmartimages.com/asr/bfdfb6af-4bf7-4e25-8191-c5b33136d41d_2.3c9220cf9d79baa65d8e01740da245f8.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Bayer-Chewable-Aspirin-Regimen-Low-Dose-Pain-Reliever-Tablets-81mg-Orange-108-Ct/10316158,pain_reliever
