title,price,image,link,category
"Dickinson's Witch Hazel Cleansing Astringent, 16 Fl Oz",$3.64,https://i5.walmartimages.com/asr/39f95177-a1ea-4346-a007-7239d75c46eb_1.9c21042997c491669388c27bba36ab22.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Dickinson-s-Witch-Hazel-Cleansing-Astringent-16-Fl-Oz/10321470,witch_hazel
"Dickinson's Original Witch Hazel Pore Perfecting Toner, 16 fl oz",$4.68,https://i5.walmartimages.com/asr/d74dafd5-dbb1-4246-a1b2-40f177999385_1.4cb8c0fd40931235f9a2ff3d672b5eb0.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Dickinson-s-Original-Witch-Hazel-Pore-Perfecting-Toner-16-fl-oz/20463901,witch_hazel
"Neutrogena Alcohol-Free Facial Toner, Hypoallergenic, 8.5 fl. Oz",$5.98,https://i5.walmartimages.com/asr/c11ced7e-afdf-483e-abeb-dd24fb4a3193.dc2e36754198cfd33a8e4b2038ec510f.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Neutrogena-Alcohol-Free-Facial-Toner-Hypoallergenic-8-5-fl-Oz/10849661?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:CgYzAeUl5RW-OPZrqEPbjt7GXHINVEns_wzOuk3egGidR3a1pUd32HLHulnPGEyAgQSJ6odAn4kKNkJmVifRICEcn3t8A_7XwOAYfK3qgkV--tf_XOOZ_MRQs2eAJb_SFR1pIJzx8NKRXUdcALlb8fSKUk_aGQbFob8__Wn96V4qRaV7f5Zv6ex5PtOUfm0GlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,witch_hazel
"Dickinson's Enhanced Witch Hazel Astringent Deep Cleansing, 16.0 FL OZ",$6.57,https://i5.walmartimages.com/asr/0e8c4c0c-54c6-4d5f-bdaa-2da386e668e3_1.a869bfe0209fb77bb8a3c9a0e2054206.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Dickinson-s-Enhanced-Witch-Hazel-Astringent-Deep-Cleansing-16-0-FL-OZ/44796828,witch_hazel
"Neutrogena Pore Refining Facial Toner with Witch Hazel, 8.5 fl. oz",$6.54,https://i5.walmartimages.com/asr/c72dfd4b-5cd7-45c2-b055-52a89cdbc01a.104f61e99cf189ebc36c81914d5d8db6.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Neutrogena-Pore-Refining-Facial-Toner-with-Witch-Hazel-8-5-fl-oz/876613?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:ODyCpgvhKjQ5G2-S-lf7nMY32JYEImnuh5j3HGIdLeNIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA7Apj0OGuGiR3FdNwvAxxhiudgmjHmg6uxxHkJ4EyQh-oTNUKfyhZ260e58-cJ0kI_lWmGph2oOFXG-Dqyz2Y_3xRJ9_fgUCQLMW7EKWv3TXk0ned34jBJaowZ-VyKQp5g&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,witch_hazel
"Olay Cleanse Witch Hazel Face Toner for Women, 7.2 oz",$4.38,https://i5.walmartimages.com/asr/1e61c9e1-51e5-4040-a6bf-5abad9d15f6f_1.800ef1e0bac651f02ade8f008788eb83.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Olay-Cleanse-Witch-Hazel-Face-Toner-for-Women-7-2-oz/19529369,witch_hazel
"Dickinson's Enhanced Witch Hazel Hydrating Toner with Rosewater, 16 fl oz",$5.97,https://i5.walmartimages.com/asr/cb05ea30-6cd8-42cd-addc-8be99a479c5a_1.964b4d5a2c73498bec9e44dfb3c3916a.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Dickinson-s-Enhanced-Witch-Hazel-Hydrating-Toner-with-Rosewater-16-fl-oz/44796827,witch_hazel
Dickinson's Original Witch Hazel Pore Perfecting Toner 16 fl oz (Pack of 2),$9.84,https://i5.walmartimages.com/asr/f4d81dac-476f-4ecf-949d-40980a3e09ee_1.132b4e1cd7beebf8d5e1fed9a4f26872.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Dickinson-apos-s-Original-Witch-Hazel-Pore-Perfecting-Toner-16-fl-oz-Pack-of-2/568932167,witch_hazel
Humphrey's Witch Hazel Astringent 8 fl oz bottle,$7.96,https://i5.walmartimages.com/asr/adc02747-4494-4f6e-ae18-c5b85ebaff66_1.4eea72fcaa6afc478fbbbeeaa00e19b1.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Humphrey-s-Witch-Hazel-Astringent-8-fl-oz-bottle/757002952,witch_hazel
"Thayers Witch Hazel Aloe Vera Astringent, Original, 12 fl oz",$16.00,https://i5.walmartimages.com/asr/c4eac820-9686-404b-924a-8f980833bba2_1.1bf9dfc8174e104d0a8ddf7d02210cc5.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Thayers-Witch-Hazel-Aloe-Vera-Astringent-Original-12-fl-oz/26971632,witch_hazel
