title,price,image,link,category
"Equate 1% Hydrocortisone Anti-Itch Cream with Soothing Aloe, Maximum Strength, Twin Pack, 4 oz",$6.98,https://i5.walmartimages.com/asr/67a13a93-27b3-423b-8c7e-fcd082e05267_1.6083144004b6e43deb615d724d8be424.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-1-Hydrocortisone-Anti-Itch-Cream-with-Soothing-Aloe-Maximum-Strength-Twin-Pack-4-oz/20659620,anti-itch cream
"Cortizone 10 Intensive Healing Anti-Itch Crme 2oz, Value Size",$7.28,https://i5.walmartimages.com/asr/0dbbe5a2-6f98-4458-a0a2-77f1d63f0bb7_1.5170250d7540195766a13761b889441c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Cortizone-10-Intensive-Healing-Anti-Itch-Cr-me-2oz-Value-Size/39264308,anti-itch cream
Cortizone 10 Anti-Itch Crme with Aloe 1oz,$4.24,https://i5.walmartimages.com/asr/32cef816-1e03-4a1a-8ab9-ab67ebef6c37_1.f930952f9648b233292fddb1d1460d0a.png?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Cortizone-10-Anti-Itch-Cr-me-with-Aloe-1oz/10307668?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:6r2uZsR8z7iiDZ2crHAoJ59hxbl5CZExGg8JMu7np0cUcp0uAo3ijbGL1O3MDCtVgYTTlAwtnQNosTTn-wZImfXj6g6SwnGFElYFIrW5n3aGo36feF2zd21TwmaAix6Dclmeu8iNSy9MfFpigqmJ4rbLswzi75aLKJlF_20KPqK5gRV-UDYNIg2yRf2oBUlg01AzT1uDw_eY-wsLzHQIj_CQ66hv3Eb1hSLft4UaPCiBkssVa3ZHT7yThMcy7eKQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,anti-itch cream
"Equate Hydrocortisone 1% Anti-itch Cream with Aloe, temporarily relieves itching, 2 Oz",$4.52,https://i5.walmartimages.com/asr/6e2ab847-cd1b-4797-acdb-6c1d216922f0_1.609dae876992ed1e67b4c76178da17b2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-Hydrocortisone-1-Anti-itch-Cream-with-Aloe-temporarily-relieves-itching-2-Oz/23736260,anti-itch cream
Cortizone 10 Intensive Healing Anti-Itch Crme 1oz,$4.52,https://i5.walmartimages.com/asr/f5ad9972-fd13-473c-b8fd-af31434f1af0_1.fa8a50e25f40376e8df3edc11e5d4d54.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Cortizone-10-Intensive-Healing-Anti-Itch-Cr-me-1oz/10307667?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:6r2uZsR8z7iiDZ2crHAoJ59hxbl5CZExGg8JMu7np0cUcp0uAo3ijbGL1O3MDCtVgYTTlAwtnQNosTTn-wZImfXj6g6SwnGFElYFIrW5n3aGo36feF2zd21TwmaAix6Dclmeu8iNSy9MfFpigqmJ4lT8gP7VZcpXoKITowEbW0W5gRV-UDYNIg2yRf2oBUlg01AzT1uDw_eY-wsLzHQIj_CQ66hv3Eb1hSLft4UaPCiBkssVa3ZHT7yThMcy7eKQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,anti-itch cream
Gold Bond Medicated Pain and Itch Relief Cream with Lidocaine 1.75oz,$6.74,https://i5.walmartimages.com/asr/bd31faeb-59ec-4a74-8aee-967659959ba9_1.02e5a341d8af95c2236e2ae476216277.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Gold-Bond-Medicated-Pain-and-Itch-Relief-Cream-with-Lidocaine-1-75oz/51501766,anti-itch cream
Aveeno Maximum Strength 1% Hydrocortisone Anti-Itch Cream,$4.97,https://i5.walmartimages.com/asr/7e2a0e3c-45e1-4ae0-a5f6-ee5f0f5b570c_1.233d3575a60d13d949b842af6ae47ac3.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Aveeno-Maximum-Strength-1-Hydrocortisone-Anti-Itch-Cream/10293807,anti-itch cream
Cortizone 10 Plus Ultra Moisturizing Anti-Itch Creme 1oz,$4.52,https://i5.walmartimages.com/asr/baee7c22-4ab4-43fe-9ed6-eb758885bc43_1.2af0422ccd05ef60647fb23d2eeee8bb.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Cortizone-10-Plus-Ultra-Moisturizing-Anti-Itch-Creme-1oz/10307679,anti-itch cream
"Benadryl Extra Strength Cooling Relief Anti-Itch Gel, 3.5 fl. oz",$5.42,https://i5.walmartimages.com/asr/44d0fd48-55e1-43a7-8279-321ce05bb478_1.f41332c0c34acdcb2810f384c9867f4e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Benadryl-Extra-Strength-Cooling-Relief-Anti-Itch-Gel-3-5-fl-oz/35756723,anti-itch cream
Gold Bond Anti-Itch Lotion 5.5oz,$8.56,https://i5.walmartimages.com/asr/9056c180-6dce-4339-b396-e01112d08601_1.74735ba8ff43fa27019cbc93b5aef64c.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Gold-Bond-Anti-Itch-Lotion-5-5oz/12166538,anti-itch cream
