title,price,image,link,category
"Neosporin + Pain Relief Dual Action Cream, 1 Oz",$4.92,https://i5.walmartimages.com/asr/daa76452-2f65-459b-a027-7a9cf0d2b891_1.5ca049701856db90bec7afbca55f9aff.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Neosporin-Pain-Relief-Dual-Action-Cream-1-Oz/42087741,antiseptic
"PhysiciansCare Antiseptic Towelettes, 25 count",$11.73,https://i5.walmartimages.com/asr/e9842848-e50a-4ad7-ad90-92096fbab5a1_1.68d07b37774bc46c408d31ef97a02933.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/PhysiciansCare-Antiseptic-Towelettes-25-count/21854508,antiseptic
"Equate Triple Antibiotic First Aid Ointment, 2 oz, 2 Pack",$3.98,https://i5.walmartimages.com/asr/d0267548-ea54-4fd9-8aad-83c97bd82d8a_1.9fe85efc86ee44844c608f1f586f21d4.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Equate-Triple-Antibiotic-First-Aid-Ointment-2-oz-2-Pack/20659621,antiseptic
"Dynarex BZK Antiseptic Towelettes, 5"" x 7"" 100 Pads MS-60700",$11.95,https://i5.walmartimages.com/asr/6afe5cb2-b396-4792-8ce7-0170abb5a6e1_1.26e7b1e07453bde89bf6fbb126559ad6.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Dynarex-BZK-Antiseptic-Towelettes-5-x-7-100-Pads-MS-60700/647772466,antiseptic
"Hygea Benzalkonium Chloride Antiseptic Towelette D35185 Box of 100, Scented",$14.80,https://i5.walmartimages.com/asr/cac3ca55-3f9e-4553-89f5-652bf4114efb_1.cea57684d740c727867ba5972fca98d0.png?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Hygea-Benzalkonium-Chloride-Antiseptic-Towelette-D35185-Box-of-100-Scented/104759191,antiseptic
Pharma-C-Wipes 3% Hydrogen Peroxide Wipes 40-ct,$14.99,https://i5.walmartimages.com/asr/3157a203-d737-4a74-b368-ffde0da66227_1.151bd6c4744d6cdb5f380590fc910db7.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Pharma-C-Wipes-3-Hydrogen-Peroxide-Wipes-40-ct/259174772,antiseptic
First Aid Only Povidone Iodine Antiseptic Wipes 12015,$9.00,https://i5.walmartimages.com/asr/0d4b7fce-8cfe-4101-9c45-bda940d1e3d9_1.82cbfbe635b0e50c3ca858ef6f91dd94.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/First-Aid-Only-Povidone-Iodine-Antiseptic-Wipes-12015/174467571,antiseptic
Sudocrem Antiseptic Healing Cream - 2 x 400g,$32.99,https://i5.walmartimages.com/asr/56385925-8dfd-4faa-9f61-8055b81b0003_1.14f7b66c75e9c8a9602b078a02d4cc40.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/Sudocrem-Antiseptic-Healing-Cream-2-x-400g/717796803,antiseptic
"BZK Antiseptic Towelettes - 10 Pack, These antiseptic towelettes, with the active ingredient Benzalkonium Chloride, are ideal for cleansing.., By Rescue Essentials",$7.99,https://i5.walmartimages.com/asr/3df2ce55-d410-4b87-bff7-05be3eb87649_1.0d3abc5a3cbb312a107e7a37322f22ad.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/antiseptic-Rescue-ingredient-ideal-Towelettes-Pack-active-Chloride-Essentials-towelettes-BZK-These-Antiseptic-By-Benzalkonium-cleansing-10/986042755,antiseptic
"10 Person ANSI Class A Refill, BZK Antiseptic Wipes, 10/Box",$10.26,https://i5.walmartimages.com/asr/d9b059c7-13d7-40e1-9dbb-a68b3b798ed5_1.429c789de340617e593ee413d1f45ec6.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,https://www.walmart.com/ip/10-Person-ANSI-Class-A-Refill-BZK-Antiseptic-Wipes-10-Box/160463977,antiseptic
